"Regiao de Saude (CIR)";"Vaginal";"Cesario";"Ignorado";"Total"
"35152 Santa F? do Sul";104;344;NA;448
"35153 Jales";81;897;NA;978
"35154 Fernand?polis";92;783;NA;875
"35155 S?o Jos? do Rio Preto";2106;8261;NA;10367
"35156 Jos? Bonif?cio";22;16;1;39
"35157 Votuporanga";264;1816;NA;2080
"35161 Itapetininga";2188;3105;NA;5293
"35162 Itapeva";1501;2086;NA;3587
"35163 Sorocaba";8678;12466;2;21146
"35171 Alto Vale do Para?ba";4887;7763;NA;12650
"35172 Circuito da F? e Vale Hist?rico";1009;3627;5;4641
"35173 Litoral Norte";1733;2619;3;4355
"35174 Vale do Para?ba/Regiao Serrana";2268;4777;1;7046
"17001 M?dio Norte Araguaia";2608;3868;NA;6476
"17002 Bico do Papagaio";1055;634;NA;1689
"17003 Sudeste";408;488;NA;896
"17004 Cerrado Tocantins Araguaia";301;729;NA;1030
"17005 Ilha do Bananal";860;1528;NA;2388
"17006 Capim Dourado";3200;4499;NA;7699
"17007 Cant?o";607;720;NA;1327
"17008 Amor Perfeito";621;805;NA;1426
"Total";1023545;1511451;1285;2536281
 Fonte: MS/SVSA/CGIAE NA Sistema de Informa??es sobre Nascidos Vivos NA SINASC
 Notas:
 
 Dados finais dispon?veis at? 2022 e preliminares referentes a 2023. Data da atualiza??o dos dados 08/2024.
 Em 2011, houve uma mudan?a no conte?do da Declara??o de Nascidos Vivos, com maior detalhamento das informa??es coletadas. Para este ano, foram
 utilizados simultaneamente os dois formul?rios. Para mais detalhes sobre as mudan?as ocorridas e os seus efeitos, veja o documento
 "Consolida??o do Sistema de Informa??es sobre Nascidos Vivos NA 2011".
 
 * A categoriza??o da "Adequa??o quantitativa de pr?NAnatal" mostrada na vari?vel "Adeq quant pr?NAnatal" considera o in?cio do
 pr?NAnatal no primeiro trimestre e um m?nimo de seis consultas de pr?NAnatal ?, sendo gravada em campo chamado Kotelchuck no
 arquivo dispon?vel para download, calculado a partir dos campos ?33 ? N?mero de consultas pr?NAnatal? (Mesprenat) e ?34 ? M?s de gesta??o em que iniciou o pr?NAnatal? (Consprenat).
 Maiores informa??es no documento "Sa?de Brasil 2017: uma an?lise da situa??o de sa?de e os desafios para o alcance dos Objetivos de Desenvolvi
 
